H8WUJ3,?,IPR011162;IPR014745;IPR000353;,[GO:0042613];[GO:0019882];[GO:0006955],"HLA-DRB1,,,,,,,,"
C9JZF7,?,?,?,"CHPF2,,,,,,,,"
A0A2P9AHF9,?,IPR032710;IPR037401;,?,"BQ8482_160024,,,,,,,,"
Q5JPU0,?,IPR001017;IPR029061;,[GO:0005739];[GO:0005730];[GO:0016624],"PDHA1,,,,,,"
B2RD30,?,IPR027897;,?,",,,,,,,,"
G3DR78,?,IPR011161;IPR037055;IPR011162;IPR001039;,?,"HLA-A,,,,,,,,"
D6RDJ8,?,IPR003859;IPR027995;IPR029044;,[GO:0016757];[GO:0005975],"B4GALT7,,,,,,,"
Q5Q4X1,?,IPR001750;,[GO:0016021];[GO:0005739],"ND2,,,,,,,,"
A0A0N7A523,?,IPR011162;IPR014745;IPR000353;,[GO:0042613];[GO:0019882];[GO:0006955],"HLA-DRB1,,,,,,,,"
A0A0U5LBR3,?,IPR011161;IPR037055;IPR011162;IPR001039;,?,"HLA-B,,,,,,,,"
B4E0R8,?,?,[GO:0016021],",,,,,,,,"
B5A940,?,IPR001627;IPR036352;IPR015943;,?,"MET,,,,,,,,"
E5E1S7,?,IPR000568;IPR023011;IPR035908;,[GO:0016021];[GO:0005743];[GO:0045263];[GO:0015078];[GO:0015986],"ATP6,,,,,,,"
Q69Z02,?,IPR004241;IPR029071;,[GO:0005737];[GO:0006914],"DKFZp586A1923,,,,,,,,"
H0Y7Y5,?,IPR011989;IPR016024;,?,"MROH8,,,,,,,,"
A5HM66,?,?,[GO:0003964],"pol,,,,,,,,"
M0QY12,?,?,?,"ADAMTS10,,,,,,,,"
Q4F7G3,?,IPR011161;IPR037055;IPR011162;IPR001039;,?,"HLA-B,,,,,,,,"
A0A1S6P1H5,?,IPR005798;IPR036150;IPR005797;IPR027387;IPR030689;IPR016174;,[GO:0016021];[GO:0005743];[GO:0045275];[GO:0046872];[GO:0008121];[GO:0006122],"CYTB,,,,,,,"
A0A0E3DD21,?,IPR011161;IPR037055;IPR011162;IPR001039;,?,"HLA-A,,,,,,,,"
A5HC72,?,IPR011161;IPR037055;IPR011162;IPR001039;,?,"HLA-B,,,,,,,,"
B3CJ71,?,IPR002418;IPR012682;,[GO:0005634];[GO:0003700],"MYC,,,,,,,,"
I7FV88,?,IPR001660;IPR013761;,?,"SAMD11,,,,,,,,"
L8EA41,?,?,[GO:0016021],"TMCO1,,,,,,,,"
Q4W8W0,?,IPR036047;IPR001810;IPR036181;,?,",,,,,,,,"
A0A0X7YJE4,?,IPR011162;IPR014745;IPR000353;,[GO:0042613];[GO:0019882];[GO:0006955],"HLA-DPB1,,,,,,,,"
M1GLR5,?,IPR011162;IPR014745;IPR000353;,[GO:0042613];[GO:0019882];[GO:0006955],"HLA-DQB1,,,,,,,,"
A8K019,?,IPR001881;IPR013032;IPR000742;IPR000152;,[GO:0016021];[GO:0005509],",,,,,,,,"
B8ZZB2,?,IPR039034;,[GO:0016316],"INPP4A,,,,,,,"
A0A1W2PS95,?,IPR010742;IPR029008;,[GO:0016021],"RAB5IF,,,,,,,,"
I3L384,?,?,?,"PAFAH1B1,,,,,,,,"
E5RFF0,?,IPR001464;IPR018502;IPR037104;IPR002393;,[GO:0005509];[GO:0005544],"ANXA6,,,,,,,,"
F2WFE8,?,IPR024791;IPR033945;IPR000298;IPR035973;IPR013833;,[GO:0016021];[GO:0005739];[GO:0004129];[GO:0019646],"COX3,,,,,,,,"
Q95HD8,?,IPR011161;IPR037055;IPR011162;IPR001039;,?,"HLA-A,,,,,,,,"
D3VVF5,?,IPR033865;IPR006155;IPR003903;,[GO:0004843];[GO:0016579],"ATXN3,,,,,,,,"
Q16098,?,IPR026836;IPR026831;IPR026818;,[GO:0005737];[GO:0005634];[GO:0008013];[GO:0007050];[GO:0016477];[GO:0006974];[GO:0000281];[GO:0008285];[GO:0007026];[GO:0030178];[GO:0043065],"APC,,,,,,,,"
E9PR05,?,IPR037927;IPR002857;,[GO:0005829];[GO:0071339];[GO:0005654];[GO:0003677];[GO:0042800];[GO:0008270],"KMT2A,,,,,,,,"
